2020-02-25 11:51:04.070,  192.168.250.59:50360,   192.168.250.1:53   ,     126,       0
2020-02-25 11:51:04.070,   192.168.250.1:53   ,  192.168.250.59:50360,     676,       0
2020-02-25 11:51:04.080,  192.168.250.59:50024,  17.253.123.204:80   ,     519,       0
2020-02-25 11:51:04.160,  192.168.250.59:53646,   192.168.250.1:53   ,     146,       0
2020-02-25 11:51:04.170,   192.168.250.1:53   ,  192.168.250.59:53646,     146,       0
2020-02-25 11:51:04.300,  192.168.250.59:64789,   192.168.250.1:53   ,     128,       0
2020-02-25 11:51:04.350,   192.168.250.1:53   ,  192.168.250.59:64789,    1054,       0
2020-02-25 11:51:04.360,  192.168.250.59:50025,   192.168.250.1:53   ,     168,       0
2020-02-25 11:51:04.360,   192.168.250.1:53   ,  192.168.250.59:50025,     120,       0
2020-02-25 11:51:04.360,  192.168.250.59:50026,     54.76.9.103:443  ,    2779,       0
2020-02-25 11:51:04.420,  192.168.250.59:60330,   192.168.250.1:53   ,     132,       0
2020-02-25 11:51:04.430,   192.168.250.1:53   ,  192.168.250.59:60330,     660,       0
2020-02-25 11:51:04.430,  192.168.250.59:50027,   52.50.170.249:443  ,    4238,       0
2020-02-25 11:51:04.560,  192.168.250.59:58122,   192.168.250.1:53   ,     118,       0
2020-02-25 11:51:04.560,  192.168.250.59:55941,   192.168.250.1:53   ,     156,       0
2020-02-25 11:51:04.570,  192.168.250.59:64067,   192.168.250.1:53   ,     132,       0
2020-02-25 11:51:04.570,  192.168.250.59:63028,   192.168.250.1:53   ,     140,       0
2020-02-25 11:51:04.570,   192.168.250.1:53   ,  192.168.250.59:58122,     682,       0
2020-02-25 11:51:04.570,   192.168.250.1:53   ,  192.168.250.59:55941,     658,       0
2020-02-25 11:51:04.570,   192.168.250.1:53   ,  192.168.250.59:64067,     620,       0
2020-02-25 11:51:04.580,   192.168.250.1:53   ,  192.168.250.59:63028,     844,       0
2020-02-25 11:51:04.590,  192.168.250.59:58828,   192.168.250.1:53   ,     130,       0
2020-02-25 11:51:04.600,  192.168.250.59:51992,   192.168.250.1:53   ,     124,       0
2020-02-25 11:51:04.650,   192.168.250.1:53   ,  192.168.250.59:58828,     736,       0
2020-02-25 11:51:04.660,  192.168.250.59:50028,   17.188.133.34:443  ,    1634,       0
2020-02-25 11:51:04.680,   192.168.250.1:53   ,  192.168.250.59:51992,    1078,       0
2020-02-25 11:51:04.690,  192.168.250.59:50029,   192.168.250.1:53   ,     168,       0
2020-02-25 11:51:04.690,   192.168.250.1:53   ,  192.168.250.59:50029,     120,       0
